subject,block,trial,mu1,mu2,choice,reward,RT
1,22,8,-0.506,2.737,2,3.081,0.000
1,22,9,-0.506,2.737,2,4.732,0.000
1,22,10,-0.506,2.737,2,0.895,0.000
1,23,1,-1.990,-0.939,1,2.567,0.000
1,23,2,-1.990,-0.939,2,4.237,0.000
1,23,3,-1.990,-0.939,2,-7.965,0.000
1,23,4,-1.990,-0.939,1,0.918,0.000
1,23,5,-1.990,-0.939,1,-0.293,0.000
1,23,6,-1.990,-0.939,1,-0.489,0.000
1,23,7,-1.990,-0.939,1,0.012,0.000
1,23,8,-1.990,-0.939,1,0.079,0.000
1,23,9,-1.990,-0.939,1,-4.758,0.000
1,23,10,-1.990,-0.939,1,-0.389,0.000
1,24,1,-9.690,12.928,1,-4.727,0.000
1,24,2,-9.690,12.928,2,16.949,0.000
1,24,3,-9.690,12.928,2,13.128,0.000
1,24,4,-9.690,12.928,2,16.147,0.000
1,24,5,-9.690,12.928,2,15.110,0.000
1,24,6,-9.690,12.928,2,20.136,0.000
1,24,7,-9.690,12.928,2,13.589,0.000
1,24,8,-9.690,12.928,2,14.990,0.000
1,24,9,-9.690,12.928,2,10.853,0.000
1,24,10,-9.690,12.928,2,10.202,0.000
1,25,1,9.601,6.799,1,10.954,0.000
1,25,2,9.601,6.799,1,11.164,0.000
1,25,3,9.601,6.799,1,8.139,0.000
1,25,4,9.601,6.799,1,9.817,0.000
1,25,5,9.601,6.799,1,4.901,0.000
1,25,6,9.601,6.799,1,7.568,0.000
1,25,7,9.601,6.799,1,6.274,0.000
1,25,8,9.601,6.799,1,8.168,0.000
1,25,9,9.601,6.799,1,13.556,0.000
1,25,10,9.601,6.799,1,4.412,0.000
1,26,1,-10.234,-8.006,1,-11.777,0.000
1,26,2,-10.234,-8.006,2,-14.327,0.000
1,26,3,-10.234,-8.006,1,-9.670,0.000
1,26,4,-10.234,-8.006,2,-10.027,0.000
1,26,5,-10.234,-8.006,2,-7.664,0.000
1,26,6,-10.234,-8.006,2,-2.170,0.000
1,26,7,-10.234,-8.006,2,-6.400,0.000
1,26,8,-10.234,-8.006,2,-10.714,0.000
1,26,9,-10.234,-8.006,2,-7.015,0.000
1,26,10,-10.234,-8.006,2,-10.078,0.000
1,27,1,-6.109,12.975,1,-2.495,0.000
1,27,2,-6.109,12.975,2,11.677,0.000
1,27,3,-6.109,12.975,2,8.538,0.000
1,27,4,-6.109,12.975,2,11.558,0.000
1,27,5,-6.109,12.975,2,18.324,0.000
1,27,6,-6.109,12.975,2,14.578,0.000
1,27,7,-6.109,12.975,2,12.574,0.000
1,27,8,-6.109,12.975,2,14.317,0.000
1,27,9,-6.109,12.975,2,10.071,0.000
1,27,10,-6.109,12.975,2,10.843,0.000
1,28,1,6.685,-0.495,1,9.461,0.000
1,28,2,6.685,-0.495,1,7.481,0.000
1,28,3,6.685,-0.495,1,2.802,0.000
1,28,4,6.685,-0.495,1,8.666,0.000
1,28,5,6.685,-0.495,1,9.134,0.000
1,28,6,6.685,-0.495,1,11.572,0.000
1,28,7,6.685,-0.495,1,8.578,0.000
1,28,8,6.685,-0.495,1,8.438,0.000
1,28,9,6.685,-0.495,1,5.267,0.000
1,28,10,6.685,-0.495,1,7.836,0.000
1,29,1,-2.795,-1.076,1,-2.300,0.000
1,29,2,-2.795,-1.076,2,-2.645,0.000
1,29,3,-2.795,-1.076,1,-7.196,0.000
1,29,4,-2.795,-1.076,2,-4.507,0.000
1,29,5,-2.795,-1.076,2,-0.938,0.000
1,29,6,-2.795,-1.076,2,0.001,0.000
1,29,7,-2.795,-1.076,2,-4.229,0.000
1,29,8,-2.795,-1.076,2,-1.014,0.000
1,29,9,-2.795,-1.076,2,-0.151,0.000
1,29,10,-2.795,-1.076,2,-6.289,0.000
1,30,1,-4.000,3.910,1,-2.637,0.000
1,30,2,-4.000,3.910,2,1.304,0.000
1,30,3,-4.000,3.910,2,7.731,0.000
1,30,4,-4.000,3.910,2,4.362,0.000
1,30,5,-4.000,3.910,2,-2.830,0.000
1,30,6,-4.000,3.910,2,5.062,0.000
1,30,7,-4.000,3.910,2,1.780,0.000
1,30,8,-4.000,3.910,2,2.565,0.000
1,30,9,-4.000,3.910,2,2.184,0.000
1,30,10,-4.000,3.910,2,3.826,0.000
1,31,1,13.043,-1.299,1,13.845,0.000
1,31,2,13.043,-1.299,1,12.943,0.000
1,31,3,13.043,-1.299,1,13.757,0.000
1,31,4,13.043,-1.299,1,14.461,0.000
1,31,5,13.043,-1.299,1,14.079,0.000
1,31,6,13.043,-1.299,1,13.233,0.000
1,31,7,13.043,-1.299,1,18.690,0.000
1,31,8,13.043,-1.299,1,12.193,0.000
1,31,9,13.043,-1.299,1,6.693,0.000
1,31,10,13.043,-1.299,1,9.038,0.000
1,32,1,-0.161,2.460,1,0.055,0.000
1,32,2,-0.161,2.460,2,-1.456,0.000
